Date,Country/Region,Confirmed,Death,Recovered,Active,Mortality_Rate,Recovered_Rate
1/23/20,Afghanistan,0,0,0,0,0.0,0.0
1/24/20,Afghanistan,0,0,0,0,0.0,0.0
1/25/20,Afghanistan,0,0,0,0,0.0,0.0
1/26/20,Afghanistan,0,0,0,0,0.0,0.0
1/27/20,Afghanistan,0,0,0,0,0.0,0.0
1/28/20,Afghanistan,0,0,0,0,0.0,0.0
1/29/20,Afghanistan,0,0,0,0,0.0,0.0
1/30/20,Afghanistan,0,0,0,0,0.0,0.0
1/31/20,Afghanistan,0,0,0,0,0.0,0.0
2/1/20,Afghanistan,0,0,0,0,0.0,0.0
2/2/20,Afghanistan,0,0,0,0,0.0,0.0
2/3/20,Afghanistan,0,0,0,0,0.0,0.0
2/4/20,Afghanistan,0,0,0,0,0.0,0.0
2/5/20,Afghanistan,0,0,0,0,0.0,0.0
2/6/20,Afghanistan,0,0,0,0,0.0,0.0
2/7/20,Afghanistan,0,0,0,0,0.0,0.0
2/8/20,Afghanistan,0,0,0,0,0.0,0.0
2/9/20,Afghanistan,0,0,0,0,0.0,0.0
2/10/20,Afghanistan,0,0,0,0,0.0,0.0
2/11/20,Afghanistan,0,0,0,0,0.0,0.0
2/12/20,Afghanistan,0,0,0,0,0.0,0.0
2/13/20,Afghanistan,0,0,0,0,0.0,0.0
2/14/20,Afghanistan,0,0,0,0,0.0,0.0
2/15/20,Afghanistan,0,0,0,0,0.0,0.0
2/16/20,Afghanistan,0,0,0,0,0.0,0.0
2/17/20,Afghanistan,0,0,0,0,0.0,0.0
2/18/20,Afghanistan,0,0,0,0,0.0,0.0
2/19/20,Afghanistan,0,0,0,0,0.0,0.0
2/20/20,Afghanistan,0,0,0,0,0.0,0.0
2/21/20,Afghanistan,0,0,0,0,0.0,0.0
2/22/20,Afghanistan,0,0,0,0,0.0,0.0
2/23/20,Afghanistan,0,0,0,0,0.0,0.0
2/24/20,Afghanistan,1,0,0,1,0.0,0.0
2/25/20,Afghanistan,1,0,0,1,0.0,0.0
2/26/20,Afghanistan,1,0,0,1,0.0,0.0
2/27/20,Afghanistan,1,0,0,1,0.0,0.0
2/28/20,Afghanistan,1,0,0,1,0.0,0.0
2/29/20,Afghanistan,1,0,0,1,0.0,0.0
3/1/20,Afghanistan,1,0,0,1,0.0,0.0
3/2/20,Afghanistan,1,0,0,1,0.0,0.0
3/3/20,Afghanistan,1,0,0,1,0.0,0.0
3/4/20,Afghanistan,1,0,0,1,0.0,0.0
3/5/20,Afghanistan,1,0,0,1,0.0,0.0
3/6/20,Afghanistan,1,0,0,1,0.0,0.0
3/7/20,Afghanistan,1,0,0,1,0.0,0.0
3/8/20,Afghanistan,4,0,0,4,0.0,0.0
3/9/20,Afghanistan,4,0,0,4,0.0,0.0
3/10/20,Afghanistan,5,0,0,5,0.0,0.0
3/11/20,Afghanistan,7,0,0,7,0.0,0.0
3/12/20,Afghanistan,7,0,0,7,0.0,0.0
3/13/20,Afghanistan,7,0,0,7,0.0,0.0
3/14/20,Afghanistan,11,0,0,11,0.0,0.0
3/15/20,Afghanistan,16,0,0,16,0.0,0.0
3/16/20,Afghanistan,21,0,1,20,0.0,4.76
3/17/20,Afghanistan,22,0,1,21,0.0,4.55
3/18/20,Afghanistan,22,0,1,21,0.0,4.55
3/19/20,Afghanistan,22,0,1,21,0.0,4.55
3/20/20,Afghanistan,24,0,1,23,0.0,4.17
3/21/20,Afghanistan,24,0,1,23,0.0,4.17
3/22/20,Afghanistan,40,1,1,38,2.5,2.5
3/23/20,Afghanistan,40,1,1,38,2.5,2.5
3/24/20,Afghanistan,74,1,1,72,1.35,1.35
3/25/20,Afghanistan,84,2,2,80,2.38,2.38
3/26/20,Afghanistan,94,4,2,88,4.26,2.13
3/27/20,Afghanistan,110,4,2,104,3.64,1.82
3/28/20,Afghanistan,110,4,2,104,3.64,1.82
3/29/20,Afghanistan,120,4,2,114,3.33,1.67
3/30/20,Afghanistan,170,4,2,164,2.35,1.18
3/31/20,Afghanistan,174,4,5,165,2.3,2.87
4/1/20,Afghanistan,237,4,5,228,1.69,2.11
4/2/20,Afghanistan,273,6,10,257,2.2,3.66
1/23/20,Albania,0,0,0,0,0.0,0.0
1/24/20,Albania,0,0,0,0,0.0,0.0
1/25/20,Albania,0,0,0,0,0.0,0.0
1/26/20,Albania,0,0,0,0,0.0,0.0
1/27/20,Albania,0,0,0,0,0.0,0.0
1/28/20,Albania,0,0,0,0,0.0,0.0
1/29/20,Albania,0,0,0,0,0.0,0.0
1/30/20,Albania,0,0,0,0,0.0,0.0
1/31/20,Albania,0,0,0,0,0.0,0.0
2/1/20,Albania,0,0,0,0,0.0,0.0
2/2/20,Albania,0,0,0,0,0.0,0.0
2/3/20,Albania,0,0,0,0,0.0,0.0
2/4/20,Albania,0,0,0,0,0.0,0.0
2/5/20,Albania,0,0,0,0,0.0,0.0
2/6/20,Albania,0,0,0,0,0.0,0.0
2/7/20,Albania,0,0,0,0,0.0,0.0
